date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2022-01-11,0,0,0,2022-01-09 23:00:00+0000,2022-01-09 23:00:00+0000,0,
2022-01-12,79,303,7,2022-01-12 00:04:00+0000,2022-01-12 07:03:00+0000,30,
2022-01-13,82,263,8,2022-01-13 00:19:00+0000,2022-01-13 07:03:00+0000,51,
2022-01-14,45,313,2,2022-01-14 00:47:00+0000,2022-01-14 07:33:00+0000,46,
2022-01-15,73,270,9,2022-01-15 00:31:00+0000,2022-01-15 07:00:00+0000,37,
2022-01-16,79,249,3,2022-01-16 00:39:00+0000,2022-01-16 07:05:00+0000,55,
2022-01-17,83,263,2,2022-01-16 23:36:00+0000,2022-01-17 06:00:00+0000,36,
2022-01-18,96,293,8,2022-01-18 00:10:00+0000,2022-01-18 07:50:00+0000,63,
2022-01-19,93,217,23,2022-01-19 01:15:00+0000,2022-01-19 07:08:00+0000,20,
2022-01-20,44,272,3,2022-01-20 00:48:00+0000,2022-01-20 06:50:00+0000,43,
2022-01-21,93,298,24,2022-01-21 01:27:00+0000,2022-01-21 08:51:00+0000,29,
2022-01-22,98,277,3,2022-01-22 01:10:00+0000,2022-01-22 08:05:00+0000,37,
2022-01-23,0,0,0,2022-01-21 23:00:00+0000,2022-01-21 23:00:00+0000,0,
2022-01-24,114,374,3,2022-01-24 00:18:00+0000,2022-01-24 09:13:00+0000,44,
2022-01-25,95,290,3,2022-01-25 01:32:00+0000,2022-01-25 08:53:00+0000,53,
2022-01-26,83,232,3,2022-01-26 01:32:00+0000,2022-01-26 08:41:00+0000,111,
2022-01-27,94,292,5,2022-01-27 01:18:00+0000,2022-01-27 08:27:00+0000,38,
2022-01-28,41,167,4,2022-01-28 06:20:00+0000,2022-01-28 11:14:00+0000,82,
2022-01-29,112,369,7,2022-01-29 01:19:00+0000,2022-01-29 10:05:00+0000,38,
2022-01-30,87,313,11,2022-01-30 01:33:00+0000,2022-01-30 08:53:00+0000,29,
2022-01-31,98,331,14,2022-01-31 00:45:00+0000,2022-01-31 08:31:00+0000,23,
2022-02-01,59,252,18,2022-02-01 01:00:00+0000,2022-02-01 08:30:00+0000,121,
2022-02-02,48,226,10,2022-02-02 00:14:00+0000,2022-02-02 05:52:00+0000,54,
2022-02-03,83,249,1,2022-02-03 01:18:00+0000,2022-02-03 08:04:00+0000,73,
2022-02-04,73,366,3,2022-02-04 01:02:00+0000,2022-02-04 09:02:00+0000,38,
2022-02-05,85,335,3,2022-02-05 01:49:00+0000,2022-02-05 09:19:00+0000,27,
2022-02-06,76,322,7,2022-02-06 01:31:00+0000,2022-02-06 08:59:00+0000,43,
2022-02-07,107,296,4,2022-02-07 00:06:00+0000,2022-02-07 07:40:00+0000,47,
2022-02-08,79,269,3,2022-02-08 01:09:00+0000,2022-02-08 07:45:00+0000,45,
2022-02-09,81,297,7,2022-02-09 01:11:00+0000,2022-02-09 08:02:00+0000,26,
2022-02-10,88,269,5,2022-02-10 00:26:00+0000,2022-02-10 07:56:00+0000,88,
2022-02-11,0,0,0,2022-02-09 23:00:00+0000,2022-02-09 23:00:00+0000,0,
2022-02-12,111,351,13,2022-02-12 00:19:00+0000,2022-02-12 08:45:00+0000,31,
2022-02-13,0,0,0,2022-02-11 23:00:00+0000,2022-02-11 23:00:00+0000,0,
2022-02-14,43,276,6,2022-02-13 23:47:00+0000,2022-02-14 06:09:00+0000,57,
2022-02-15,73,270,9,2022-02-14 23:42:00+0000,2022-02-15 06:03:00+0000,29,
2022-02-16,95,215,10,2022-02-16 01:11:00+0000,2022-02-16 08:05:00+0000,94,
2022-02-17,71,261,0,2022-02-17 00:01:00+0000,2022-02-17 06:33:00+0000,60,
2022-02-18,62,322,1,2022-02-18 00:13:00+0000,2022-02-18 07:30:00+0000,52,
2022-02-19,95,318,3,2022-02-19 01:04:00+0000,2022-02-19 08:33:00+0000,33,
2022-02-20,31,161,28,2022-02-20 06:38:00+0000,2022-02-20 11:44:00+0000,86,
2022-02-21,78,281,9,2022-02-20 22:39:00+0000,2022-02-21 05:53:00+0000,66,
2022-02-22,50,261,1,2022-02-21 23:40:00+0000,2022-02-22 05:51:00+0000,59,
2022-02-23,86,189,22,2022-02-22 23:23:00+0000,2022-02-23 06:05:00+0000,105,
2022-02-24,105,186,6,2022-02-23 23:41:00+0000,2022-02-24 06:01:00+0000,83,
2022-02-25,83,226,7,2022-02-25 00:04:00+0000,2022-02-25 06:46:00+0000,86,
2022-02-26,92,256,15,2022-02-25 23:35:00+0000,2022-02-26 07:05:00+0000,87,
2022-02-27,0,0,0,2022-02-25 23:00:00+0000,2022-02-25 23:00:00+0000,0,
2022-02-28,85,318,2,2022-02-27 22:56:00+0000,2022-02-28 06:03:00+0000,22,
2022-03-01,70,271,12,2022-02-28 23:11:00+0000,2022-03-01 05:50:00+0000,46,
2022-03-02,43,286,1,2022-03-02 00:18:00+0000,2022-03-02 06:33:00+0000,45,
2022-03-03,81,223,9,2022-03-02 23:36:00+0000,2022-03-03 05:49:00+0000,60,
2022-03-04,96,258,0,2022-03-04 00:26:00+0000,2022-03-04 07:19:00+0000,59,
2022-03-05,53,346,15,2022-03-05 00:03:00+0000,2022-03-05 07:41:00+0000,44,
2022-03-06,28,132,1,2022-03-06 06:51:00+0000,2022-03-06 10:05:00+0000,33,
