"date","weekdays","start","stop","deepSleepTime","deepSleepTimePorc","shallowSleepTime","shallowSleepTimePorc","wakeTime","wakeTimePorc","REMTime","REMTimePorc","total","deepSleepTime_time","shallowSleepTime_time","wakeTime_time","REMTime_time","total_time"
"2022-01-12","Wednesday","2022-01-12 00:04:00+0000","2022-01-12 07:03:00+0000",79,19.17,303,73.54,7,1.7,30,7.28,412,"01:19","05:03","00:07","00:30","06:52"
"2022-01-13","Thursday","2022-01-13 00:19:00+0000","2022-01-13 07:03:00+0000",82,20.71,263,66.41,8,2.02,51,12.88,396,"01:22","04:23","00:08","00:51","06:36"
"2022-01-14","Friday","2022-01-14 00:47:00+0000","2022-01-14 07:33:00+0000",45,11.14,313,77.48,2,0.5,46,11.39,404,"00:45","05:13","00:02","00:46","06:44"
"2022-01-15","Saturday","2022-01-15 00:31:00+0000","2022-01-15 07:00:00+0000",73,19.21,270,71.05,9,2.37,37,9.74,380,"01:13","04:30","00:09","00:37","06:20"
"2022-01-16","Sunday","2022-01-16 00:39:00+0000","2022-01-16 07:05:00+0000",79,20.63,249,65.01,3,0.78,55,14.36,383,"01:19","04:09","00:03","00:55","06:23"
"2022-01-17","Monday","2022-01-16 23:36:00+0000","2022-01-17 06:00:00+0000",83,21.73,263,68.85,2,0.52,36,9.42,382,"01:23","04:23","00:02","00:36","06:22"
"2022-01-18","Tuesday","2022-01-18 00:10:00+0000","2022-01-18 07:50:00+0000",96,21.24,293,64.82,8,1.77,63,13.94,452,"01:36","04:53","00:08","01:03","07:32"
"2022-01-19","Wednesday","2022-01-19 01:15:00+0000","2022-01-19 07:08:00+0000",93,28.18,217,65.76,23,6.97,20,6.06,330,"01:33","03:37","00:23","00:20","05:30"
"2022-01-20","Thursday","2022-01-20 00:48:00+0000","2022-01-20 06:50:00+0000",44,12.26,272,75.77,3,0.84,43,11.98,359,"00:44","04:32","00:03","00:43","05:59"
"2022-01-21","Friday","2022-01-21 01:27:00+0000","2022-01-21 08:51:00+0000",93,22.14,298,70.95,24,5.71,29,6.9,420,"01:33","04:58","00:24","00:29","07:00"
"2022-01-22","Saturday","2022-01-22 01:10:00+0000","2022-01-22 08:05:00+0000",98,23.79,277,67.23,3,0.73,37,8.98,412,"01:38","04:37","00:03","00:37","06:52"
"2022-01-23","Sunday","2022-01-21 23:00:00+0000","2022-01-21 23:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-01-24","Monday","2022-01-24 00:18:00+0000","2022-01-24 09:13:00+0000",114,21.43,374,70.3,3,0.56,44,8.27,532,"01:54","06:14","00:03","00:44","08:52"
"2022-01-25","Tuesday","2022-01-25 01:32:00+0000","2022-01-25 08:53:00+0000",95,21.69,290,66.21,3,0.68,53,12.1,438,"01:35","04:50","00:03","00:53","07:18"
"2022-01-26","Wednesday","2022-01-26 01:32:00+0000","2022-01-26 08:41:00+0000",83,19.48,232,54.46,3,0.7,111,26.06,426,"01:23","03:52","00:03","01:51","07:06"
"2022-01-27","Thursday","2022-01-27 01:18:00+0000","2022-01-27 08:27:00+0000",94,22.17,292,68.87,5,1.18,38,8.96,424,"01:34","04:52","00:05","00:38","07:04"
"2022-01-28","Friday","2022-01-28 06:20:00+0000","2022-01-28 11:14:00+0000",41,14.14,167,57.59,4,1.38,82,28.28,290,"00:41","02:47","00:04","01:22","04:50"
"2022-01-29","Saturday","2022-01-29 01:19:00+0000","2022-01-29 10:05:00+0000",112,21.58,369,71.1,7,1.35,38,7.32,519,"01:52","06:09","00:07","00:38","08:39"
"2022-01-30","Sunday","2022-01-30 01:33:00+0000","2022-01-30 08:53:00+0000",87,20.28,313,72.96,11,2.56,29,6.76,429,"01:27","05:13","00:11","00:29","07:09"
"2022-01-31","Monday","2022-01-31 00:45:00+0000","2022-01-31 08:31:00+0000",98,21.68,331,73.23,14,3.1,23,5.09,452,"01:38","05:31","00:14","00:23","07:32"
"2022-02-01","Tuesday","2022-02-01 01:00:00+0000","2022-02-01 08:30:00+0000",59,13.66,252,58.33,18,4.17,121,28.01,432,"00:59","04:12","00:18","02:01","07:12"
"2022-02-02","Wednesday","2022-02-02 00:14:00+0000","2022-02-02 05:52:00+0000",48,14.63,226,68.9,10,3.05,54,16.46,328,"00:48","03:46","00:10","00:54","05:28"
"2022-02-03","Thursday","2022-02-03 01:18:00+0000","2022-02-03 08:04:00+0000",83,20.49,249,61.48,1,0.25,73,18.02,405,"01:23","04:09","00:01","01:13","06:45"
"2022-02-04","Friday","2022-02-04 01:02:00+0000","2022-02-04 09:02:00+0000",73,15.3,366,76.73,3,0.63,38,7.97,477,"01:13","06:06","00:03","00:38","07:57"
"2022-02-05","Saturday","2022-02-05 01:49:00+0000","2022-02-05 09:19:00+0000",85,19.02,335,74.94,3,0.67,27,6.04,447,"01:25","05:35","00:03","00:27","07:27"
"2022-02-06","Sunday","2022-02-06 01:31:00+0000","2022-02-06 08:59:00+0000",76,17.23,322,73.02,7,1.59,43,9.75,441,"01:16","05:22","00:07","00:43","07:21"
"2022-02-07","Monday","2022-02-07 00:06:00+0000","2022-02-07 07:40:00+0000",107,23.78,296,65.78,4,0.89,47,10.44,450,"01:47","04:56","00:04","00:47","07:30"
"2022-02-08","Tuesday","2022-02-08 01:09:00+0000","2022-02-08 07:45:00+0000",79,20.1,269,68.45,3,0.76,45,11.45,393,"01:19","04:29","00:03","00:45","06:33"
"2022-02-09","Wednesday","2022-02-09 01:11:00+0000","2022-02-09 08:02:00+0000",81,20.05,297,73.51,7,1.73,26,6.44,404,"01:21","04:57","00:07","00:26","06:44"
"2022-02-10","Thursday","2022-02-10 00:26:00+0000","2022-02-10 07:56:00+0000",88,19.78,269,60.45,5,1.12,88,19.78,445,"01:28","04:29","00:05","01:28","07:25"
"2022-02-11","Friday","2022-02-09 23:00:00+0000","2022-02-09 23:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-02-12","Saturday","2022-02-12 00:19:00+0000","2022-02-12 08:45:00+0000",111,22.52,351,71.2,13,2.64,31,6.29,493,"01:51","05:51","00:13","00:31","08:13"
"2022-02-13","Sunday","2022-02-11 23:00:00+0000","2022-02-11 23:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-02-14","Monday","2022-02-13 23:47:00+0000","2022-02-14 06:09:00+0000",43,11.44,276,73.4,6,1.6,57,15.16,376,"00:43","04:36","00:06","00:57","06:16"
"2022-02-15","Tuesday","2022-02-14 23:42:00+0000","2022-02-15 06:03:00+0000",73,19.62,270,72.58,9,2.42,29,7.8,372,"01:13","04:30","00:09","00:29","06:12"
"2022-02-16","Wednesday","2022-02-16 01:11:00+0000","2022-02-16 08:05:00+0000",95,23.51,215,53.22,10,2.48,94,23.27,404,"01:35","03:35","00:10","01:34","06:44"
"2022-02-17","Thursday","2022-02-17 00:01:00+0000","2022-02-17 06:33:00+0000",71,18.11,261,66.58,0,0,60,15.31,392,"01:11","04:21","00:00","01:00","06:32"
"2022-02-18","Friday","2022-02-18 00:13:00+0000","2022-02-18 07:30:00+0000",62,14.22,322,73.85,1,0.23,52,11.93,436,"01:02","05:22","00:01","00:52","07:16"
"2022-02-19","Saturday","2022-02-19 01:04:00+0000","2022-02-19 08:33:00+0000",95,21.3,318,71.3,3,0.67,33,7.4,446,"01:35","05:18","00:03","00:33","07:26"
"2022-02-20","Sunday","2022-02-20 06:38:00+0000","2022-02-20 11:44:00+0000",31,11.15,161,57.91,28,10.07,86,30.94,278,"00:31","02:41","00:28","01:26","04:38"
"2022-02-21","Monday","2022-02-20 22:39:00+0000","2022-02-21 05:53:00+0000",78,18.35,281,66.12,9,2.12,66,15.53,425,"01:18","04:41","00:09","01:06","07:05"
"2022-02-22","Tuesday","2022-02-21 23:40:00+0000","2022-02-22 05:51:00+0000",50,13.51,261,70.54,1,0.27,59,15.95,370,"00:50","04:21","00:01","00:59","06:10"
"2022-02-23","Wednesday","2022-02-22 23:23:00+0000","2022-02-23 06:05:00+0000",86,22.63,189,49.74,22,5.79,105,27.63,380,"01:26","03:09","00:22","01:45","06:20"
"2022-02-24","Thursday","2022-02-23 23:41:00+0000","2022-02-24 06:01:00+0000",105,28.07,186,49.73,6,1.6,83,22.19,374,"01:45","03:06","00:06","01:23","06:14"
"2022-02-25","Friday","2022-02-25 00:04:00+0000","2022-02-25 06:46:00+0000",83,21.01,226,57.22,7,1.77,86,21.77,395,"01:23","03:46","00:07","01:26","06:35"
"2022-02-26","Saturday","2022-02-25 23:35:00+0000","2022-02-26 07:05:00+0000",92,21.15,256,58.85,15,3.45,87,20,435,"01:32","04:16","00:15","01:27","07:15"
"2022-02-27","Sunday","2022-02-25 23:00:00+0000","2022-02-25 23:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-02-28","Monday","2022-02-27 22:56:00+0000","2022-02-28 06:03:00+0000",85,20,318,74.82,2,0.47,22,5.18,425,"01:25","05:18","00:02","00:22","07:05"
"2022-03-01","Tuesday","2022-02-28 23:11:00+0000","2022-03-01 05:50:00+0000",70,18.09,271,70.03,12,3.1,46,11.89,387,"01:10","04:31","00:12","00:46","06:27"
"2022-03-02","Wednesday","2022-03-02 00:18:00+0000","2022-03-02 06:33:00+0000",43,11.5,286,76.47,1,0.27,45,12.03,374,"00:43","04:46","00:01","00:45","06:14"
"2022-03-03","Thursday","2022-03-02 23:36:00+0000","2022-03-03 05:49:00+0000",81,22.25,223,61.26,9,2.47,60,16.48,364,"01:21","03:43","00:09","01:00","06:04"
"2022-03-04","Friday","2022-03-04 00:26:00+0000","2022-03-04 07:19:00+0000",96,23.24,258,62.47,0,0,59,14.29,413,"01:36","04:18","00:00","00:59","06:53"
"2022-03-05","Saturday","2022-03-05 00:03:00+0000","2022-03-05 07:41:00+0000",53,11.96,346,78.1,15,3.39,44,9.93,443,"00:53","05:46","00:15","00:44","07:23"
"2022-03-06","Sunday","2022-03-06 06:51:00+0000","2022-03-06 10:05:00+0000",28,14.51,132,68.39,1,0.52,33,17.1,193,"00:28","02:12","00:01","00:33","03:13"
"2022-03-07","Monday","2022-03-06 23:28:00+0000","2022-03-07 06:10:00+0000",82,20.4,286,71.14,0,0,34,8.46,402,"01:22","04:46","00:00","00:34","06:42"
"2022-03-08","Tuesday","2022-03-08 00:21:00+0000","2022-03-08 05:49:00+0000",61,19,198,61.68,7,2.18,62,19.31,321,"01:01","03:18","00:07","01:02","05:21"
"2022-03-09","Wednesday","2022-03-09 00:12:00+0000","2022-03-09 07:09:00+0000",59,14.75,269,67.25,17,4.25,72,18,400,"00:59","04:29","00:17","01:12","06:40"
"2022-03-10","Thursday","2022-03-10 00:38:00+0000","2022-03-10 05:53:00+0000",16,8,163,81.5,115,57.5,21,10.5,200,"00:16","02:43","01:55","00:21","03:20"
"2022-03-11","Friday","2022-03-09 23:00:00+0000","2022-03-09 23:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-03-12","Saturday","2022-03-12 00:04:00+0000","2022-03-12 07:27:00+0000",97,22.72,274,64.17,16,3.75,56,13.11,427,"01:37","04:34","00:16","00:56","07:07"
"2022-03-13","Sunday","2022-03-11 23:00:00+0000","2022-03-11 23:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-03-14","Monday","2022-03-13 22:53:00+0000","2022-03-14 06:00:00+0000",36,8.74,320,77.67,15,3.64,56,13.59,412,"00:36","05:20","00:15","00:56","06:52"
"2022-03-15","Tuesday","2022-03-15 01:15:00+0000","2022-03-15 06:11:00+0000",68,24.29,200,71.43,16,5.71,12,4.29,280,"01:08","03:20","00:16","00:12","04:40"
"2022-03-16","Wednesday","2022-03-16 00:10:00+0000","2022-03-16 07:02:00+0000",67,16.67,292,72.64,10,2.49,43,10.7,402,"01:07","04:52","00:10","00:43","06:42"
"2022-03-17","Thursday","2022-03-16 23:54:00+0000","2022-03-17 07:01:00+0000",87,20.67,250,59.38,6,1.43,84,19.95,421,"01:27","04:10","00:06","01:24","07:01"
"2022-03-18","Friday","2022-03-18 00:42:00+0000","2022-03-18 07:04:00+0000",92,24.34,263,69.58,4,1.06,23,6.08,378,"01:32","04:23","00:04","00:23","06:18"
"2022-03-19","Saturday","2022-03-19 01:28:00+0000","2022-03-19 08:29:00+0000",55,14.18,264,68.04,33,8.51,69,17.78,388,"00:55","04:24","00:33","01:09","06:28"
"2022-03-20","Sunday","2022-03-20 06:53:00+0000","2022-03-20 11:07:00+0000",22,9.36,168,71.49,19,8.09,45,19.15,235,"00:22","02:48","00:19","00:45","03:55"
"2022-03-21","Monday","2022-03-20 23:24:00+0000","2022-03-21 06:11:00+0000",88,21.67,289,71.18,1,0.25,29,7.14,406,"01:28","04:49","00:01","00:29","06:46"
"2022-03-22","Tuesday","2022-03-21 23:38:00+0000","2022-03-22 06:00:00+0000",80,21.33,197,52.53,7,1.87,98,26.13,375,"01:20","03:17","00:07","01:38","06:15"
"2022-03-23","Wednesday","2022-03-22 23:54:00+0000","2022-03-23 06:17:00+0000",61,16.62,280,76.29,16,4.36,26,7.08,367,"01:01","04:40","00:16","00:26","06:07"
"2022-03-24","Thursday","2022-03-24 00:23:00+0000","2022-03-24 03:13:00+0000",23,14.94,98,63.64,16,10.39,33,21.43,154,"00:23","01:38","00:16","00:33","02:34"
"2022-03-25","Friday","2022-03-24 22:26:00+0000","2022-03-25 07:29:00+0000",119,23.06,283,54.84,27,5.23,114,22.09,516,"01:59","04:43","00:27","01:54","08:36"
"2022-03-26","Saturday","2022-03-25 23:31:00+0000","2022-03-26 08:12:00+0000",104,21.53,342,70.81,38,7.87,37,7.66,483,"01:44","05:42","00:38","00:37","08:03"
"2022-03-27","Sunday","2022-03-25 23:00:00+0000","2022-03-25 23:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-03-28","Monday","2022-03-27 22:00:00+0000","2022-03-28 05:21:00+0000",79,18.59,320,75.29,16,3.76,26,6.12,425,"01:19","05:20","00:16","00:26","07:05"
"2022-03-29","Tuesday","2022-03-28 23:25:00+0000","2022-03-29 05:20:00+0000",108,30.68,161,45.74,3,0.85,83,23.58,352,"01:48","02:41","00:03","01:23","05:52"
"2022-03-30","Wednesday","2022-03-29 23:41:00+0000","2022-03-30 05:59:00+0000",100,27.32,248,67.76,12,3.28,18,4.92,366,"01:40","04:08","00:12","00:18","06:06"
"2022-03-31","Thursday","2022-03-30 22:54:00+0000","2022-03-31 05:00:00+0000",77,21.27,261,72.1,4,1.1,24,6.63,362,"01:17","04:21","00:04","00:24","06:02"
"2022-04-01","Friday","2022-03-31 23:12:00+0000","2022-04-01 06:12:00+0000",74,17.87,297,71.74,6,1.45,43,10.39,414,"01:14","04:57","00:06","00:43","06:54"
"2022-04-02","Saturday","2022-04-01 23:16:00+0000","2022-04-02 06:31:00+0000",84,20.1,304,72.73,17,4.07,30,7.18,418,"01:24","05:04","00:17","00:30","06:58"
"2022-04-03","Sunday","2022-04-03 05:48:00+0000","2022-04-03 10:06:00+0000",53,22.75,136,58.37,25,10.73,44,18.88,233,"00:53","02:16","00:25","00:44","03:53"
"2022-04-04","Monday","2022-04-03 22:20:00+0000","2022-04-04 05:11:00+0000",74,18.41,299,74.38,9,2.24,29,7.21,402,"01:14","04:59","00:09","00:29","06:42"
"2022-04-05","Tuesday","2022-04-04 22:44:00+0000","2022-04-05 05:05:00+0000",36,9.52,303,80.16,3,0.79,39,10.32,378,"00:36","05:03","00:03","00:39","06:18"
"2022-04-06","Wednesday","2022-04-05 21:50:00+0000","2022-04-06 06:45:00+0000",102,20.32,332,66.14,33,6.57,68,13.55,502,"01:42","05:32","00:33","01:08","08:22"
"2022-04-07","Thursday","2022-04-06 23:14:00+0000","2022-04-07 07:15:00+0000",54,11.51,339,72.28,12,2.56,76,16.2,469,"00:54","05:39","00:12","01:16","07:49"
"2022-04-08","Friday","2022-04-07 22:28:00+0000","2022-04-08 07:17:00+0000",113,22.51,296,58.96,27,5.38,93,18.53,502,"01:53","04:56","00:27","01:33","08:22"
"2022-04-09","Saturday","2022-04-08 21:26:00+0000","2022-04-09 06:13:00+0000",113,23.79,286,60.21,52,10.95,76,16,475,"01:53","04:46","00:52","01:16","07:55"
"2022-04-10","Sunday","2022-04-10 05:49:00+0000","2022-04-10 10:00:00+0000",46,18.85,180,73.77,7,2.87,18,7.38,244,"00:46","03:00","00:07","00:18","04:04"
"2022-04-11","Monday","2022-04-10 21:32:00+0000","2022-04-11 06:29:00+0000",86,16.14,393,73.73,4,0.75,54,10.13,533,"01:26","06:33","00:04","00:54","08:53"
"2022-04-12","Tuesday","2022-04-11 22:11:00+0000","2022-04-12 06:29:00+0000",97,19.6,269,54.34,3,0.61,129,26.06,495,"01:37","04:29","00:03","02:09","08:15"
"2022-04-13","Wednesday","2022-04-12 23:56:00+0000","2022-04-13 06:37:00+0000",87,22.31,270,69.23,11,2.82,33,8.46,390,"01:27","04:30","00:11","00:33","06:30"
"2022-04-14","Thursday","2022-04-13 23:15:00+0000","2022-04-14 06:31:00+0000",82,19.81,252,60.87,22,5.31,80,19.32,414,"01:22","04:12","00:22","01:20","06:54"
"2022-04-15","Friday","2022-04-14 23:17:00+0000","2022-04-15 07:05:00+0000",52,11.16,359,77.04,2,0.43,55,11.8,466,"00:52","05:59","00:02","00:55","07:46"
"2022-04-16","Saturday","2022-04-16 00:10:00+0000","2022-04-16 06:30:00+0000",81,21.54,255,67.82,4,1.06,40,10.64,376,"01:21","04:15","00:04","00:40","06:16"
"2022-04-17","Sunday","2022-04-17 05:26:00+0000","2022-04-17 11:18:00+0000",61,17.94,252,74.12,12,3.53,27,7.94,340,"01:01","04:12","00:12","00:27","05:40"
"2022-04-18","Monday","2022-04-17 23:25:00+0000","2022-04-18 07:00:00+0000",70,15.56,276,61.33,5,1.11,104,23.11,450,"01:10","04:36","00:05","01:44","07:30"
"2022-04-19","Tuesday","2022-04-18 23:09:00+0000","2022-04-19 05:03:00+0000",42,12.07,235,67.53,6,1.72,71,20.4,348,"00:42","03:55","00:06","01:11","05:48"
"2022-04-20","Wednesday","2022-04-19 23:43:00+0000","2022-04-20 06:17:00+0000",49,13.1,271,72.46,20,5.35,54,14.44,374,"00:49","04:31","00:20","00:54","06:14"
"2022-04-21","Thursday","2022-04-20 22:57:00+0000","2022-04-21 05:25:00+0000",79,21.53,245,66.76,21,5.72,43,11.72,367,"01:19","04:05","00:21","00:43","06:07"
"2022-04-22","Friday","2022-04-21 23:05:00+0000","2022-04-22 07:00:00+0000",74,16.05,323,70.07,14,3.04,64,13.88,461,"01:14","05:23","00:14","01:04","07:41"
"2022-04-23","Saturday","2022-04-22 23:09:00+0000","2022-04-23 06:30:00+0000",95,22.41,300,70.75,17,4.01,29,6.84,424,"01:35","05:00","00:17","00:29","07:04"
"2022-04-24","Sunday","2022-04-24 05:37:00+0000","2022-04-24 10:37:00+0000",34,11.6,215,73.38,7,2.39,44,15.02,293,"00:34","03:35","00:07","00:44","04:53"
"2022-04-25","Monday","2022-04-24 22:17:00+0000","2022-04-25 06:53:00+0000",105,20.63,282,55.4,7,1.38,122,23.97,509,"01:45","04:42","00:07","02:02","08:29"
"2022-04-26","Tuesday","2022-04-25 23:44:00+0000","2022-04-26 05:04:00+0000",57,18.69,213,69.84,15,4.92,35,11.48,305,"00:57","03:33","00:15","00:35","05:05"
"2022-04-27","Wednesday","2022-04-27 00:40:00+0000","2022-04-27 06:46:00+0000",75,20.66,244,67.22,3,0.83,44,12.12,363,"01:15","04:04","00:03","00:44","06:03"
"2022-04-28","Thursday","2022-04-27 22:57:00+0000","2022-04-28 06:47:00+0000",100,22.08,295,65.12,17,3.75,58,12.8,453,"01:40","04:55","00:17","00:58","07:33"
"2022-04-29","Friday","2022-04-28 22:50:00+0000","2022-04-29 06:01:00+0000",60,14.12,341,80.24,6,1.41,24,5.65,425,"01:00","05:41","00:06","00:24","07:05"
"2022-04-30","Saturday","2022-04-29 22:23:00+0000","2022-04-30 04:57:00+0000",68,17.8,287,75.13,12,3.14,27,7.07,382,"01:08","04:47","00:12","00:27","06:22"
"2022-05-01","Sunday","2022-04-29 22:00:00+0000","2022-04-29 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-05-02","Monday","2022-05-01 23:12:00+0000","2022-05-02 07:04:00+0000",104,22.66,302,65.8,13,2.83,53,11.55,459,"01:44","05:02","00:13","00:53","07:39"
"2022-05-03","Tuesday","2022-05-02 22:52:00+0000","2022-05-03 06:30:00+0000",116,25.55,306,67.4,4,0.88,32,7.05,454,"01:56","05:06","00:04","00:32","07:34"
"2022-05-04","Wednesday","2022-05-03 23:12:00+0000","2022-05-04 06:03:00+0000",73,17.94,261,64.13,4,0.98,73,17.94,407,"01:13","04:21","00:04","01:13","06:47"
"2022-05-05","Thursday","2022-05-05 00:04:00+0000","2022-05-05 06:50:00+0000",70,17.99,241,61.95,17,4.37,78,20.05,389,"01:10","04:01","00:17","01:18","06:29"
"2022-05-06","Friday","2022-05-04 22:00:00+0000","2022-05-04 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-05-07","Saturday","2022-05-06 22:06:00+0000","2022-05-07 06:57:00+0000",89,17.69,364,72.37,28,5.57,50,9.94,503,"01:29","06:04","00:28","00:50","08:23"
"2022-05-08","Sunday","2022-05-08 03:42:00+0000","2022-05-08 08:53:00+0000",52,18.57,156,55.71,31,11.07,72,25.71,280,"00:52","02:36","00:31","01:12","04:40"
"2022-05-09","Monday","2022-05-08 22:48:00+0000","2022-05-09 06:02:00+0000",63,14.65,297,69.07,4,0.93,70,16.28,430,"01:03","04:57","00:04","01:10","07:10"
"2022-05-10","Tuesday","2022-05-09 22:02:00+0000","2022-05-10 06:03:00+0000",87,18.12,339,70.62,1,0.21,54,11.25,480,"01:27","05:39","00:01","00:54","08:00"
"2022-05-11","Wednesday","2022-05-10 22:26:00+0000","2022-05-11 06:05:00+0000",68,16.46,222,53.75,46,11.14,123,29.78,413,"01:08","03:42","00:46","02:03","06:53"
"2022-05-12","Thursday","2022-05-11 22:43:00+0000","2022-05-12 05:40:00+0000",85,20.43,304,73.08,1,0.24,27,6.49,416,"01:25","05:04","00:01","00:27","06:56"
"2022-05-13","Friday","2022-05-12 22:30:00+0000","2022-05-13 04:58:00+0000",116,30.05,245,63.47,2,0.52,25,6.48,386,"01:56","04:05","00:02","00:25","06:26"
"2022-05-14","Saturday","2022-05-14 05:15:00+0000","2022-05-14 09:04:00+0000",4,1.93,175,84.54,22,10.63,28,13.53,207,"00:04","02:55","00:22","00:28","03:27"
"2022-05-15","Sunday","2022-05-14 22:34:00+0000","2022-05-15 05:35:00+0000",92,21.96,227,54.18,2,0.48,100,23.87,419,"01:32","03:47","00:02","01:40","06:59"
"2022-05-16","Monday","2022-05-15 22:42:00+0000","2022-05-16 06:34:00+0000",103,22.44,322,70.15,13,2.83,34,7.41,459,"01:43","05:22","00:13","00:34","07:39"
"2022-05-17","Tuesday","2022-05-16 22:53:00+0000","2022-05-17 05:02:00+0000",81,23.28,207,59.48,21,6.03,60,17.24,348,"01:21","03:27","00:21","01:00","05:48"
"2022-05-18","Wednesday","2022-05-17 23:10:00+0000","2022-05-18 05:29:00+0000",95,25.2,202,53.58,2,0.53,80,21.22,377,"01:35","03:22","00:02","01:20","06:17"
"2022-05-19","Thursday","2022-05-18 22:08:00+0000","2022-05-19 04:37:00+0000",54,14.03,278,72.21,4,1.04,53,13.77,385,"00:54","04:38","00:04","00:53","06:25"
"2022-05-20","Friday","2022-05-19 23:25:00+0000","2022-05-20 06:04:00+0000",78,19.65,258,64.99,2,0.5,61,15.37,397,"01:18","04:18","00:02","01:01","06:37"
"2022-05-21","Saturday","2022-05-20 22:21:00+0000","2022-05-21 05:08:00+0000",64,16,308,77,7,1.75,28,7,400,"01:04","05:08","00:07","00:28","06:40"
"2022-05-22","Sunday","2022-05-20 22:00:00+0000","2022-05-20 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-05-23","Monday","2022-05-22 23:08:00+0000","2022-05-23 07:11:00+0000",95,19.79,301,62.71,3,0.63,84,17.5,480,"01:35","05:01","00:03","01:24","08:00"
"2022-05-24","Tuesday","2022-05-23 22:51:00+0000","2022-05-24 06:35:00+0000",103,22.34,292,63.34,3,0.65,66,14.32,461,"01:43","04:52","00:03","01:06","07:41"
"2022-05-25","Wednesday","2022-05-24 22:27:00+0000","2022-05-25 05:54:00+0000",98,22.27,282,64.09,7,1.59,60,13.64,440,"01:38","04:42","00:07","01:00","07:20"
"2022-05-26","Thursday","2022-05-25 23:52:00+0000","2022-05-26 07:05:00+0000",128,29.84,269,62.7,4,0.93,32,7.46,429,"02:08","04:29","00:04","00:32","07:09"
"2022-05-27","Friday","2022-05-26 23:11:00+0000","2022-05-27 05:25:00+0000",97,26.08,244,65.59,2,0.54,31,8.33,372,"01:37","04:04","00:02","00:31","06:12"
"2022-05-28","Saturday","2022-05-27 23:36:00+0000","2022-05-28 06:34:00+0000",83,20.1,235,56.9,5,1.21,95,23,413,"01:23","03:55","00:05","01:35","06:53"
"2022-05-29","Sunday","2022-05-27 22:00:00+0000","2022-05-27 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-05-30","Monday","2022-05-29 22:50:00+0000","2022-05-30 07:14:00+0000",57,11.4,409,81.8,4,0.8,34,6.8,500,"00:57","06:49","00:04","00:34","08:20"
"2022-05-31","Tuesday","2022-05-30 22:32:00+0000","2022-05-31 05:43:00+0000",101,23.82,295,69.58,7,1.65,28,6.6,424,"01:41","04:55","00:07","00:28","07:04"
"2022-06-01","Wednesday","2022-05-31 23:53:00+0000","2022-06-01 05:53:00+0000",83,23.18,191,53.35,2,0.56,84,23.46,358,"01:23","03:11","00:02","01:24","05:58"
"2022-06-02","Thursday","2022-06-01 23:20:00+0000","2022-06-02 05:30:00+0000",83,22.74,205,56.16,5,1.37,77,21.1,365,"01:23","03:25","00:05","01:17","06:05"
"2022-06-03","Friday","2022-06-02 22:08:00+0000","2022-06-03 05:19:00+0000",90,21.18,290,68.24,6,1.41,45,10.59,425,"01:30","04:50","00:06","00:45","07:05"
"2022-06-04","Saturday","2022-06-03 22:08:00+0000","2022-06-04 05:03:00+0000",86,21.18,269,66.26,9,2.22,51,12.56,406,"01:26","04:29","00:09","00:51","06:46"
"2022-06-05","Sunday","2022-06-05 04:12:00+0000","2022-06-05 09:13:00+0000",66,27.85,114,48.1,64,27,57,24.05,237,"01:06","01:54","01:04","00:57","03:57"
"2022-06-06","Monday","2022-06-05 22:07:00+0000","2022-06-06 07:11:00+0000",134,24.63,277,50.92,0,0,133,24.45,544,"02:14","04:37","00:00","02:13","09:04"
